reihenfolge,datum,kino_name,alphabet_kino,alphabet_stadt,kino_name_escaped,kino_strasse_nr,kino_plz,kino_stadt,lon,lat,kino_tel,kino_url,kino_info,kino_map,video_id
58,2015-01-25,Thalia Cinema. Coffee & Cigarettes ,77,16,thalia-cinema-dresden,Görlitzer Str. 6,1099,Dresden,13.752026,51.06682,0351 6524703,http://thalia-dresden.de/,"A former smoker's cinema and the motivation to make cinema.","https://www.google.de/maps/place/Thalia+-+Cinema,+Coffee+and+Cigarettes/@51.06682,13.752026,17z/data=!3m1!4b1!4m5!3m4!1s0x4709cf3c1b6128c3:0x790548ec4161e82b!8m2!3d51.06682!4d13.7542147",232455770
59,2015-01-26,Luchs Kino am Zoo,63,22,luchs-kino-am-zoo-halle,Seebener Straße 172,6114,Halle/Saale,11.95862,51.506457,0345 52 38631,http://www.luchskino.de,"Children's films at the zoo","https://www.google.com/maps/place/Luchs+Kino+am+Zoo/@51.5064574,11.9586204,17z/data=!3m1!4b1!4m5!3m4!1s0x47a67b4fd264cb23:0x6a9bd98f5b57ec17!8m2!3d51.5064574!4d11.9608091?hl=en-GB",237282646
60,2015-01-29,Schauburg,70,38,schauburg-karlsruhe,Marienstr. 16,76137,Karlsruhe,8.405625,49.003547,0721 35 00018,http://www.schauburg.de,"Marcus Vetter and the enthusiasm for cinema. There is also a cinema poster painter here; see' Schauburg (Kinoplakatmaler)'.","https://www.google.com/maps/place/Schauburg+Karlsruhe/@49.0035473,8.4056247,17z/data=!3m1!4b1!4m5!3m4!1s0x479706474d79b68b:0x5a4d96bb6c320d8e!8m2!3d49.0035473!4d8.4078134?hl=en-GB",238365990
61,2015-01-29,Schauburg (Kinoplakatmaler),71,39,schauburg-kinoplakatmaler-karlsruhe,Marienstr. 16,76137,Karlsruhe,8.405625,49.003547,0721 35 00018,http://www.schauburg.de,"The poster painter Alfons Haas at work. And about the past of cinema","https://www.google.com/maps/place/Schauburg+Karlsruhe/@49.0035473,8.4056247,17z/data=!3m1!4b1!4m5!3m4!1s0x479706474d79b68b:0x5a4d96bb6c320d8e!8m2!3d49.0035473!4d8.4078134?hl=en-GB",219532620
62,2015-01-30,Lichtspiele,62,56,lichtspiele-moessingen,Höfgasse 12,72116,Mössingen,9.061215,48.410377,07473 21416,http://lichtspiele.wp.aqidos-easyweb.de/,"Stefan Schlegel on the change in visitor structure over the last seven decades","https://www.google.de/maps/place/Lichtspiele+M%C3%B6ssingen/@48.4103771,9.0612146,17z/data=!3m1!4b1!4m5!3m4!1s0x41096d1f0b3024f1:0xa16067dfe2587564!8m2!3d48.4103771!4d9.0634033",232484710
63,2015-02-01,Filmburg,18,52,filmburg-marktoberdorf,Gschwenderstraße 7,87616,Marktoberdorf,10.614891,47.77982,08342 916683,http://www.filmburg.de,"Cinema making as a mission. Monika Schubert. ""Time for what I do...""","https://www.google.com/maps/place/Filmburg+-+Das+Theaterkino/@47.77982,10.6148913,17z/data=!3m1!4b1!4m5!3m4!1s0x479c68fb20521d1f:0x3b5e7ab669cc70aa!8m2!3d47.77982!4d10.61708?hl=en-GB",238393564
64,2015-02-05,Kunstverein Hamburg ,57,27,kunstverein-hamburg,Klosterwall 23,20095,Hamburg,10.004586,53.54852,040 32 21 57,http://www.kunstverein.de,"Cinema is a term that needs to be refilled. Bettina Steinbrügge on a possible future of cinema.","https://www.google.de/maps/place/Kunstverein/@53.54852,10.004586,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18ee379eaafa5:0xf6f1dcbacb01f42e!8m2!3d53.54852!4d10.00678",238397615
65,2015-02-14,Villa Neukölln,81,9,villa-neukoelln,Hermannstrasse 233,12049,Berlin,13.4250946,52.4820564,030 627 28 948,http://villaneukoelln.de,"Film screening for friends in a multifunctional location in Neukölln. With chapel","https://www.google.de/maps/place/Villa+Neuk%C3%B6lln/@52.4820564,13.4250946,15z/data=!4m2!3m1!1s0x0:0x9d7b0970b8991ad8?sa=X&ved=0ahUKEwjowdCj7IPXAhUIOBoKHZy_CG0Q_BIIoQEwDg",238754641
66,2015-02-15,Interview with Cornelia Klauß,28,7,gespraech-klauß-berlin,NA,NA,Berlin,13.365054,52.5045922,NA,https://www.dok-leipzig.de/de/dok/dokarchiv/2014/festival/awk/cornelia-klauss,"Cornelia Klauß, spokeswoman for media policy (2015) of the Federal Association for Communal Film Work, on cinema in transition, implications and strategies, to work in the association against it.",NA,238747443
67,2015-02-26,Kino in der Basiskulturfabrik,44,59,kino-in-der-basiskulturfabrik-neustrelitz,Sandberg 3,17235,Neustrelitz,13.056279,53.367772,039812031 45,http://www.basiskulturfabrik.de/kino/programm.html,"Horst Conradt and his first cinema experience. And a touch of GDR cinema history","https://www.google.com/maps/place/Alte+Kachelofenfabrik/@53.367772,13.0562786,17z/data=!3m1!4b1!4m5!3m4!1s0x47a95ff8f1321c09:0x34121aafa6f96699!8m2!3d53.367772!4d13.0584673?hl=en-GB",237293520
68,2015-02-26,Wolf,84,10,wolf-berlin,Weserstraße 59,12045,Berlin,13.44193,52.48271,030 9210 393 33,https://wolfberlin.org,"A new cinema, still under construction in 2015. Verena von Stackelberg about her plans. And the future of cinema.","https://www.google.de/maps/place/Wolf+Cinema+GmbH/@52.48271,13.44193,15z/data=!4m2!3m1!1s0x0:0x78088dc05920d94c?sa=X&ved=0ahUKEwj369OEv_3WAhXsIsAKHaXnBfMQ_BIIlwEwDg",237294028
69,2015-03-17,Kino Achteinhalb,36,74,kino-achteinhalb-saarbruecken,Nauwieserstr. 19,66111,Saarbrücken,6.998898,49.235667,0681 3 9088 80,http://kinoachteinhalb.de,"Fellini and self-designed posters and programme books by Ingrid Krauß in Saarbrücken","https://www.google.com/maps/place/Kino+Achteinhalb/@49.2356673,6.9988975,17z/data=!3m1!4b1!4m5!3m4!1s0x4795b6a738bf3e43:0xd3bf9689fe0354c!8m2!3d49.2356673!4d7.0010862?hl=en-GB",237304006
70,2015-03-18,Kommunales Kino,53,83,kommunales-kino-weiterstadt,Carl-Ulrich-Straße 9,64331,Weiterstadt,8.582557,49.907022,0615 012185,http://www.kino-weiterstadt.de,"Andreas Heidenreich about different ways to make a cinema program in different cinemas.","https://www.google.com/maps/place/Kommunales+Kino+Weiterstadt/@49.9070218,8.5825569,17z/data=!3m1!4b1!4m5!3m4!1s0x47bd7728a6719773:0x2818cc91c87fc1a7!8m2!3d49.9070218!4d8.5847456?hl=en-GB",237303237
71,2015-04-24,Filmclub 813,19,45,filmclub-813-koeln,Hahnenstraße 6,50667,Köln,6.941758,50.936117,0221 3106813,http://filmclub-813.de,"Bernhard Marsch on the Filmclub 813, the analogue film art of the 20th century and film posters. And a visit to the projection room in Cologne.","https://www.google.com/maps/place/Film+Club+813+e.V./@50.9361169,6.9417575,17z/data=!3m1!4b1!4m5!3m4!1s0x47bf25aa05e93895:0xbbb7d7aebec13012!8m2!3d50.9361169!4d6.9439462?hl=en-GB",238049692
72,2015-04-25,"Boutique, Raum für temporäre Kunst",7,44,boutique-koeln,Ebertplatz 0,50668,Köln,6.9548434,50.9507647,NA,http://boutique-koeln.de/,"A former boutique in the underpass at Ebertplatz. Converted into a space for temporary art. An underground film screening.","https://www.google.de/maps/search/Ebertplatzpassagen,+50668+K%C3%B6ln/@50.9507647,6.9548434,17z/data=!3m1!4b1?hl=en",196463968
73,2015-05-19,Kino im Waldhorn,42,73,kino-im-waldhorn-rottenburg,Königstraße 12,72108,Rottenburg am Neckar,8.932144,48.47789,07472 22888,http://www.kinowaldhorn.de/,"Elmar Bux talks about the art of building a programme, his climate-neutral cinema and the not necessarily threatening danger posed by the Internet.","https://www.google.de/maps/place/Kino+im+Waldhorn/@48.47789,8.9321443,17z/data=!3m1!4b1!4m5!3m4!1s0x4799fc4b58b9aeed:0xcb8049cede64c528!8m2!3d48.47789!4d8.934333",232467016
74,2015-06-02,Kommunales Kino,54,3,kommunales-kino-bad-schwartau,Haydnring 32,23611,Bad Schwartau,10.683461,53.92604,NA,http://koki-bad-schwartau.de,"Municipal cinema in multiplex. And a volte of automation - one minute of waiting time in the picture.","https://www.google.com/maps/place/Haydnring+32,+23611+Bad+Schwartau,+Germany/@53.92604,10.6834613,17z/data=!3m1!4b1!4m5!3m4!1s0x47b20c9ca95e3715:0x52a15c5e8c166ce3!8m2!3d53.92604!4d10.68565?hl=en-GB",238074293
75,2015-06-17,Medienhaus,65,32,medienhaus-hannover,Schwarzer Bär 6,30449,Hannover,9.716995,52.36813,0511 441440,http://medienhaus-hannover.de,"A vote and a poem.","https://www.google.com/maps/place/Medienhaus+Hannover+e.V./@52.3681301,9.716995,17z/data=!3m1!4b1!4m5!3m4!1s0x47b0749544ca813b:0x857f3956f0baa6e7!8m2!3d52.3681301!4d9.7191837?hl=en-GB",238073681
76,2015-06-23,B-Movie,3,24,b-movie-hamburg,Brigittenstr. 5,20259,Hamburg,9.959122,53.554349,040 43058 67,https://www.b-movie.de,"Honorary collective cinema in the backyard. And a spulturm in the basement.","https://www.google.com/maps/place/B-Movie/@53.554349,9.9591224,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f6ec1693fdf:0xe3ed63aa35911c76!8m2!3d53.554349!4d9.9613111?hl=en-GB",238395576
77,2015-07-21,Künstlerhaus Vorwerkstift,56,26,vorwerkstift-hamburg,Vorwerkstr. 21,20357,Hamburg,9.968111,53.55943,NA,http://vorwerkstift.de,"Pictures of a performance in the garden","https://www.google.com/maps/place/Vorwerk+Stift/@53.55943,9.9681114,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f6a90f6cf69:0x94923fce001df22d!8m2!3d53.55943!4d9.9703001?hl=en-GB",238056401
78,2015-08-13,Filmclub Nebel,20,58,filmclub-nebel-amrum,NA,NA,Nebel / Amrum,8.394832,54.62824,NA,NA,"A film club of friends in a beach basket hall. How the white shark became an exclusive event","https://www.google.com/maps/place/Wittd%C3%BCn(Amrum)/@54.6282395,8.3948316,17.07z/data=!4m13!1m7!3m6!1s0x47b4fa961eb84031:0x143979dd46f00a66!2s25946+Nebel,+Germany!3b1!8m2!3d54.6502417!4d8.347468!3m4!1s0x47b4f06088c72f31:0xe90c93f08901c25b!8m2!3d54.6291581!4d8.3977718?hl=en-GB",237393621
79,2015-09-19,Kunstverein Neckar-Odenwald,58,55,kunstverein-mosbach,Unterm Haubenstein 9,74821,Mosbach,9.144347,49.360053,062 6193 98 50,http://www.kunstverein-neckar-odenwald.de/index.html,"Is it different to see a film in an art context?","https://www.google.com/maps/place/Unterm+Haubenstein+9,+74821+Mosbach,+Germany/@49.3600533,9.1443466,17z/data=!3m1!4b1!4m5!3m4!1s0x4797f56e04f57099:0x6cf55b58f2a010b4!8m2!3d49.3600533!4d9.1465353?hl=en-GB",238053155
80,2015-10-14,Café Hej Papa,9,25,cafe-hej-papa-hamburg,Poolstr. 32,20355,Hamburg,9.977529,53.554272,040 66872747,http://hej-papa.de,"Cinema in the pub. An alternative?","https://www.google.com/maps/place/hejpapa/@53.554272,9.9775293,17z/data=!3m1!4b1!4m5!3m4!1s0x47b18f16b1797afd:0xff7c6d473be7d4b9!8m2!3d53.554272!4d9.979718?hl=en-GB",238052228
81,2015-10-18,UND Kunstmesse in der Dragonerkaserne,79,40,und-kunstmesse-in-der-dragonerkaserne-karlsruhe,Kaiserallee 12b,76133,Karlsruhe,8.374798,49.01111,NA,http://www.und-1.de,"Cinema in an art context in the barracks....","https://www.google.com/maps/place/Kaiserallee+12B,+76133+Karlsruhe,+Germany/@49.0111096,8.3747978,17z/data=!3m1!4b1!4m5!3m4!1s0x479706fa7031b6e7:0xe39cabb7763ddd04!8m2!3d49.0111096!4d8.3769865?hl=en-GB",238054463
82,2015-11-17,Zeisekinos,85,30,zeisekinos-hamburg,Friedensallee 7-9,22765,Hamburg,9.925442,53.554133,040 3908770,http://www.zeise.de,"School cinema weeks: Lili Hartwig and Hanna Schneider on how to introduce young people to the cinema. And clean 3D glasses in Zeise cinema","https://www.google.com/maps/place/Zeise+halls+Kinobetriebs+GmbH/@53.5541333,9.9254416,17z/data=!3m1!4b1!4m5!3m4!1s0x47b1858fc1e60e77:0x2e8d55b59c0453df!8m2!3d53.5541333!4d9.9276303?hl=en-GB",238058411
83,2015-11-18,Lichtmess,60,28,lichtmess-hamburg,Gaußstr. 25,22765,Hamburg,9.9305928,53.5562526,040 3907603,http://www.lichtmess-kino.de,"A dedicated location for the documentary. With Carsten Knoop","https://www.google.de/maps/place/Lichtmess-Kino/@53.5562526,9.9305928,17z/data=!3m1!4b1!4m5!3m4!1s0x47b1858ec70a512d:0xc824430092754471!8m2!3d53.5562526!4d9.9327869",213220296
84,2016-02-02,Cineradoplex ,13,70,cineradoplex-pfaffenhofen,Ledererstrasse 3,85276,Pfaffenhofen,11.53109,48.523499,0844 178810,http://www.cineradoplex.de/programm/,"Cars in the foyer. VHS and multiplex. Peter Dorn on speaking about movies","https://www.google.com/maps/place/Kino+CineradoPlex/@48.5234993,11.5310902,17z/data=!3m1!4b1!4m5!3m4!1s0x479e5c68116b365d:0x43ad9f0df9e9f3c9!8m2!3d48.5234993!4d11.5332789?hl=en-GB",238072269
85,2016-02-03,Skala,72,41,skala-karlsruhe-durlach,Pfinztalstr. 92a,76227,Karlsruhe-Durlach,8.4641239,48.9998318,NA,https://ka.stadtwiki.net/Skala,"As a child, I saw my first film in the cinema when I was a kid. During my filming, the old cinema building was demolished.","https://www.google.de/maps/place/Pfinztalstra%C3%9Fe+92A,+76227+Karlsruhe/@48.99992,8.4639213,17z/data=!3m1!4b1!4m5!3m4!1s0x479708eebc8a26bd:0xcd0bd5032743fe76!8m2!3d48.99992!4d8.46611",173497081
